X	X0	ensg	hgnc_symbol	chromosome_name
ENSG00000215014	63	ENSG00000215014_AL645728.1	ENSG00000215014		1
ENSG00000228594	64	ENSG00000228594_C1orf233	ENSG00000228594	FNDC10	1
ENSG00000272106	65	ENSG00000272106_RP11-345P4.9	ENSG00000272106		1
ENSG00000197530	66	ENSG00000197530_MIB2	ENSG00000197530	MIB2	1
ENSG00000189409	67	ENSG00000189409_MMP23B	ENSG00000189409	MMP23B	1
ENSG00000248333	68	ENSG00000248333_CDK11B	ENSG00000248333	CDK11B	1
ENSG00000272004	69	ENSG00000272004_RP11-345P4.10	ENSG00000272004		1
ENSG00000189339	70	ENSG00000189339_SLC35E2B	ENSG00000189339	SLC35E2B	1
ENSG00000269737	71	ENSG00000269737_RP11-345P4.7	ENSG00000269737		1
ENSG00000008128	72	ENSG00000008128_CDK11A	ENSG00000008128	CDK11A	1
ENSG00000215790	73	ENSG00000215790_SLC35E2	ENSG00000215790	SLC35E2A	1
ENSG00000008130	74	ENSG00000008130_NADK	ENSG00000008130	NADK	1
ENSG00000078369	75	ENSG00000078369_GNB1	ENSG00000078369	GNB1	1
ENSG00000231050	76	ENSG00000231050_RP1-140A9.1	ENSG00000231050		1
ENSG00000169885	77	ENSG00000169885_CALML6	ENSG00000169885	CALML6	1
ENSG00000178821	78	ENSG00000178821_TMEM52	ENSG00000178821	TMEM52	1
ENSG00000142609	79	ENSG00000142609_C1orf222	ENSG00000142609	CFAP74	1
ENSG00000233542	80	ENSG00000233542_RP11-547D24.1	ENSG00000233542		1
ENSG00000187730	81	ENSG00000187730_GABRD	ENSG00000187730	GABRD	1
ENSG00000067606	82	ENSG00000067606_PRKCZ	ENSG00000067606	PRKCZ	1
ENSG00000271806	83	ENSG00000271806_RP5-892K4.1	ENSG00000271806		1
ENSG00000182873	84	ENSG00000182873_RP11-181G12.2	ENSG00000182873	PRKCZ-AS1	1
ENSG00000162585	85	ENSG00000162585_C1orf86	ENSG00000162585	FAAP20	1
ENSG00000269554	86	ENSG00000269554_AL590822.2	ENSG00000269554	NA	NA
ENSG00000203301	87	ENSG00000203301_AL590822.1	ENSG00000203301	NA	NA
ENSG00000234396	88	ENSG00000234396_RP11-181G12.4	ENSG00000234396		1
ENSG00000157933	89	ENSG00000157933_SKI	ENSG00000157933	SKI	1
ENSG00000116151	90	ENSG00000116151_MORN1	ENSG00000116151	MORN1	1
ENSG00000157916	91	ENSG00000157916_RER1	ENSG00000157916	RER1	1
ENSG00000157911	92	ENSG00000157911_PEX10	ENSG00000157911	PEX10	1
ENSG00000149527	93	ENSG00000149527_PLCH2	ENSG00000149527	PLCH2	1
ENSG00000157881	94	ENSG00000157881_PANK4	ENSG00000157881	PANK4	1
ENSG00000197921	95	ENSG00000197921_HES5	ENSG00000197921	HES5	1
ENSG00000272449	96	ENSG00000272449_RP3-395M20.12	ENSG00000272449		1
ENSG00000157873	97	ENSG00000157873_TNFRSF14	ENSG00000157873	TNFRSF14	1
ENSG00000228037	98	ENSG00000228037_RP3-395M20.9	ENSG00000228037		1
ENSG00000157870	99	ENSG00000157870_FAM213B	ENSG00000157870	PRXL2B	1
ENSG00000142606	100	ENSG00000142606_MMEL1	ENSG00000142606	MMEL1	1
ENSG00000237058	101	ENSG00000237058_RP13-436F16.1	ENSG00000237058		1
ENSG00000215912	102	ENSG00000215912_TTC34	ENSG00000215912	TTC34	1
ENSG00000142611	103	ENSG00000142611_PRDM16	ENSG00000142611	PRDM16	1
ENSG00000130762	104	ENSG00000130762_ARHGEF16	ENSG00000130762	ARHGEF16	1
ENSG00000162591	105	ENSG00000162591_MEGF6	ENSG00000162591	MEGF6	1
ENSG00000238260	106	ENSG00000238260_RP11-46F15.2	ENSG00000238260		1
ENSG00000158109	107	ENSG00000158109_TPRG1L	ENSG00000158109	TPRG1L	1
ENSG00000116213	108	ENSG00000116213_WRAP73	ENSG00000116213	WRAP73	1
ENSG00000078900	109	ENSG00000078900_TP73	ENSG00000078900	TP73	1
ENSG00000227372	110	ENSG00000227372_TP73-AS1	ENSG00000227372	TP73-AS1	1
ENSG00000162592	111	ENSG00000162592_CCDC27	ENSG00000162592	CCDC27	1
ENSG00000235169	112	ENSG00000235169_SMIM1	ENSG00000235169	SMIM1	1
ENSG00000130764	113	ENSG00000130764_LRRC47	ENSG00000130764	LRRC47	1
ENSG00000272153	114	ENSG00000272153_RP1-286D6.5	ENSG00000272153		1
ENSG00000116198	115	ENSG00000116198_CEP104	ENSG00000116198	CEP104	1
ENSG00000169598	116	ENSG00000169598_DFFB	ENSG00000169598	DFFB	1
ENSG00000198912	117	ENSG00000198912_C1orf174	ENSG00000198912	C1orf174	1
ENSG00000236423	118	ENSG00000236423_LINC01134	ENSG00000236423	LINC01134	1
ENSG00000196581	119	ENSG00000196581_AJAP1	ENSG00000196581	AJAP1	1
ENSG00000131697	120	ENSG00000131697_NPHP4	ENSG00000131697	NPHP4	1
ENSG00000069424	121	ENSG00000069424_KCNAB2	ENSG00000069424	KCNAB2	1
ENSG00000268332	122	ENSG00000268332_AL035406.1	ENSG00000268332	NA	NA
ENSG00000116254	123	ENSG00000116254_CHD5	ENSG00000116254	CHD5	1
ENSG00000116251	124	ENSG00000116251_RPL22	ENSG00000116251	RPL22	1
ENSG00000226944	125	ENSG00000226944_RP1-120G22.11	ENSG00000226944		1
ENSG00000158286	126	ENSG00000158286_RNF207	ENSG00000158286	RNF207	1
ENSG00000116237	127	ENSG00000116237_ICMT	ENSG00000116237	ICMT	1
ENSG00000225077	128	ENSG00000225077_LINC00337	ENSG00000225077	LINC00337	1
ENSG00000158292	129	ENSG00000158292_GPR153	ENSG00000158292	GPR153	1
ENSG00000097021	130	ENSG00000097021_ACOT7	ENSG00000097021	ACOT7	1
ENSG00000271746	131	ENSG00000271746_RP1-202O8.3	ENSG00000271746		1
ENSG00000069812	132	ENSG00000069812_HES2	ENSG00000069812	HES2	1
ENSG00000187017	133	ENSG00000187017_ESPN	ENSG00000187017	ESPN	1
ENSG00000215788	134	ENSG00000215788_TNFRSF25	ENSG00000215788	TNFRSF25	1
ENSG00000171680	135	ENSG00000171680_PLEKHG5	ENSG00000171680	PLEKHG5	1
ENSG00000162408	136	ENSG00000162408_NOL9	ENSG00000162408	NOL9	1
ENSG00000173662	137	ENSG00000173662_TAS1R1	ENSG00000173662	TAS1R1	1
ENSG00000204859	138	ENSG00000204859_ZBTB48	ENSG00000204859	ZBTB48	1
ENSG00000162413	139	ENSG00000162413_KLHL21	ENSG00000162413	KLHL21	1
ENSG00000116273	140	ENSG00000116273_PHF13	ENSG00000116273	PHF13	1
ENSG00000041988	141	ENSG00000041988_THAP3	ENSG00000041988	THAP3	1
ENSG00000007923	142	ENSG00000007923_DNAJC11	ENSG00000007923	DNAJC11	1
ENSG00000228750	143	ENSG00000228750_RP11-242F24.1	ENSG00000228750	LINC01672	1
ENSG00000237436	144	ENSG00000237436_RP11-312B8.1	ENSG00000237436	CAMTA1-DT	1
ENSG00000171735	145	ENSG00000171735_CAMTA1	ENSG00000171735	CAMTA1	1
ENSG00000237365	146	ENSG00000237365_RP11-334N17.1	ENSG00000237365		1
ENSG00000270171	147	ENSG00000270171_RP11-338N10.1	ENSG00000270171		1
ENSG00000270035	148	ENSG00000270035_RP11-338N10.2	ENSG00000270035		1
ENSG00000269978	149	ENSG00000269978_RP11-338N10.3	ENSG00000269978		1
ENSG00000049245	150	ENSG00000049245_VAMP3	ENSG00000049245	VAMP3	1
